rockstarid,mvir,rvir,rs,x,y,z
14419674161,705660000000,181.153,38.301,189.061,315.672,750.46
14419676031,705660000000,181.153,7.239,245.45,422.612,823.846
14419676571,705660000000,181.153,12.082,217.848,421.534,798.774
14419676951,705660000000,181.153,20.049,186.339,402.133,896.726
14419677051,705660000000,181.153,12.265,243.024,419.096,771.19
14419677461,705660000000,181.153,21.57,175.812,425.809,851.543
14419677471,705660000000,181.153,42.674,236.311,340.736,896.463
14407153132,752700000000,185.092,23.771,155.91,355.219,542.135
14407153552,752700000000,185.092,24.358,7.20302,416.253,564.636
14407154482,752700000000,185.092,27.758,16.4191,347.914,525.242
14407154582,752700000000,185.092,11.787,81.7656,409.81,589.045
14407154632,752700000000,185.092,21.678,55.3376,371.375,553.527
14407154762,752700000000,185.092,21.814,72.1698,401.949,591.898
14407155202,752700000000,185.092,13.722,12.0642,346.764,541.911
14407156032,752700000000,185.092,26.689,22.3378,362.974,521.929
14407156242,752700000000,185.092,15.637,23.7586,354.925,514.987
14407156902,752700000000,185.092,21.17,4.11076,456.813,599.455
14407157402,752700000000,185.092,20.224,27.6447,451.813,540.438
14407157612,752700000000,185.092,38.776,96.1979,351.765,529.879
14419492278,352830000000,143.781,29.636,196.024,421.338,273.461
14419493788,352830000000,143.781,12.187,205.583,312.665,273.511
14419495058,352830000000,143.781,8.997,189.015,323.508,272.835
14419495488,352830000000,143.781,19.702,220.949,345.03,313.562
14419495958,352830000000,143.781,13.499,204.427,314.509,360.454
14419496198,352830000000,143.781,16.068,199.63,368.592,361.751
14419498098,352830000000,143.781,5.907,209.862,422.488,351.385
14419498328,352830000000,143.781,14.359,182.271,435.284,359.285
14419498398,352830000000,143.781,5.561,207.696,324.122,385.805
14419498438,352830000000,143.781,15.294,203.942,369.35,280.915
14419498688,352830000000,143.781,4.264,235.936,438.765,420.225
14419498738,352830000000,143.781,12.556,238.468,337.333,391.853
14420344319,1082000000000,208.893,14.225,224.291,469.203,511.116
14420346349,1082000000000,208.893,40.23,217.358,479.437,646.27
14420346709,1082000000000,208.893,21.252,205.838,499.191,543
14420347009,1082000000000,208.893,13.284,185.107,483.2,641.118
14420350819,1082000000000,208.893,15.121,224.325,486.548,584.815
14420372759,1082000000000,208.893,52.885,176.013,490.62,682.166
14420386379,1082000000000,208.893,14.289,234.454,498.692,685.916
